iter	Passed	Remaining
0	90	89915
1	90	45209
2	91	30298
3	91	22838
4	92	18366
5	92	15388
6	93	13257
7	94	11657
8	94	10410
9	95	9409
10	95	8595
11	96	7917
12	96	7341
13	97	6847
14	97	6418
15	98	6045
16	98	5715
17	99	5420
18	99	5156
19	100	4918
20	100	4703
21	101	4508
22	101	4332
23	102	4173
24	103	4023
25	103	3884
26	104	3757
27	104	3638
28	105	3526
29	105	3421
30	106	3324
31	106	3231
32	107	3145
33	107	3064
34	108	2988
35	108	2915
36	109	2847
37	109	2782
38	110	2720
39	110	2661
40	111	2605
41	111	2553
42	112	2504
43	113	2457
44	113	2411
45	114	2369
46	114	2327
47	115	2288
48	115	2250
49	116	2213
50	117	2179
51	117	2145
52	118	2112
53	118	2081
54	119	2050
55	119	2020
56	120	1991
57	120	1963
58	121	1936
59	121	1910
60	122	1885
61	122	1860
62	123	1836
63	123	1813
64	124	1791
65	125	1769
66	125	1748
67	125	1726
68	126	1707
69	127	1689
70	127	1671
71	128	1654
72	129	1638
73	129	1621
74	130	1605
75	130	1589
76	131	1573
77	131	1557
78	132	1542
79	132	1527
80	133	1513
81	133	1499
82	134	1486
83	135	1474
84	135	1459
85	136	1447
86	136	1433
87	137	1421
88	137	1410
89	138	1399
90	138	1388
91	139	1377
92	140	1367
93	140	1357
94	141	1347
95	142	1337
96	142	1327
97	143	1318
98	143	1308
99	144	1299
100	144	1290
101	145	1279
102	145	1270
103	146	1262
104	147	1253
105	147	1245
106	148	1237
107	148	1229
108	149	1222
109	150	1214
110	150	1206
111	151	1199
112	151	1191
113	152	1184
114	152	1176
115	153	1168
116	153	1161
117	154	1154
118	154	1147
119	155	1140
120	156	1133
121	156	1127
122	156	1119
123	157	1113
124	158	1107
125	158	1102
126	159	1097
127	160	1090
128	160	1084
129	161	1079
130	161	1073
131	162	1068
132	163	1062
133	163	1057
134	164	1052
135	164	1046
136	165	1041
137	165	1035
138	166	1030
139	166	1025
140	167	1020
141	168	1015
142	168	1010
143	169	1005
144	169	1001
145	170	996
146	170	991
147	171	987
148	172	982
149	172	978
150	173	974
151	173	970
152	174	965
153	174	961
154	175	956
155	176	952
156	176	948
157	177	944
158	177	940
159	178	936
160	178	932
161	179	928
162	180	925
163	180	921
164	181	918
165	182	915
166	182	911
167	183	907
168	183	904
169	184	901
170	185	897
171	185	894
172	186	891
173	187	888
174	187	884
175	188	881
176	188	878
177	189	874
178	190	871
179	190	868
180	191	864
181	191	861
182	192	858
183	192	855
184	193	852
185	194	849
186	194	846
187	195	843
188	196	841
189	196	838
190	197	835
191	197	833
192	198	830
193	199	827
194	199	824
195	200	822
196	201	819
197	201	816
198	202	814
199	202	811
200	203	809
201	204	806
202	204	803
203	205	801
204	205	798
205	206	795
206	207	793
207	207	790
208	208	788
209	208	785
210	209	782
